,gross_return,turnover,cost,net_return,long_leg_ret,short_leg_ret
2010-03-22,0.0,0.0,0.0,0.0,,
2010-03-23,0.0,0.0,0.0,0.0,,
2010-03-24,0.0,0.0,0.0,0.0,,
2010-03-25,0.0,0.0,0.0,0.0,,
2010-03-26,0.0,0.0,0.0,0.0,,
2010-03-29,0.0,0.0,0.0,0.0,,
2010-03-30,0.0,0.0,0.0,0.0,,
2010-03-31,0.0,0.0,0.0,0.0,,
2010-04-01,0.0,0.0,0.0,0.0,,
2010-04-02,0.0,0.0,0.0,0.0,,
2010-04-06,0.0,0.0,0.0,0.0,,
2010-04-07,0.0,0.0,0.0,0.0,,
2010-04-08,0.0,0.0,0.0,0.0,,
2010-04-09,0.0,0.0,0.0,0.0,,
2010-04-12,0.0,0.0,0.0,0.0,,
2010-04-13,0.0,0.0,0.0,0.0,,
2010-04-14,0.0,0.0,0.0,0.0,,
2010-04-15,0.0,0.0,0.0,0.0,,
2010-04-16,0.0,0.0,0.0,0.0,,
2010-04-19,0.0,0.0,0.0,0.0,,
2010-04-20,0.0,0.0,0.0,0.0,,
2010-04-21,0.0,0.0,0.0,0.0,,
2010-04-22,0.0,0.0,0.0,0.0,,
2010-04-23,0.0,0.0,0.0,0.0,,
2010-04-26,0.0,0.0,0.0,0.0,,
2010-04-27,0.0,0.0,0.0,0.0,,
2010-04-28,0.0,0.0,0.0,0.0,,
2010-04-29,0.0,0.0,0.0,0.0,,
2010-04-30,0.0,0.0,0.0,0.0,,
2010-05-03,0.0,0.0,0.0,0.0,,
2010-05-04,0.0,0.0,0.0,0.0,,
2010-05-05,0.0,0.0,0.0,0.0,,
2010-05-06,0.0,0.0,0.0,0.0,,
2010-05-07,0.0,0.0,0.0,0.0,,
2010-05-10,0.0,0.0,0.0,0.0,,
2010-05-11,0.0,0.0,0.0,0.0,,
2010-05-12,0.0,0.0,0.0,0.0,,
2010-05-13,0.0,0.0,0.0,0.0,,
2010-05-14,0.0,0.0,0.0,0.0,,
2010-05-17,0.0,0.0,0.0,0.0,,
2010-05-18,0.0,0.0,0.0,0.0,,
2010-05-19,0.0,0.0,0.0,0.0,,
2010-05-20,0.0,0.0,0.0,0.0,,
2010-05-21,0.0,0.0,0.0,0.0,,
2010-05-24,0.0,0.0,0.0,0.0,,
2010-05-25,0.0,0.0,0.0,0.0,,
2010-05-26,0.0,0.0,0.0,0.0,,
2010-05-27,0.0,0.0,0.0,0.0,,
2010-05-28,0.0,0.0,0.0,0.0,,
2010-05-31,0.0,0.0,0.0,0.0,,
2010-06-01,0.0,0.0,0.0,0.0,,
2010-06-02,0.0,0.0,0.0,0.0,,
2010-06-03,0.0,0.0,0.0,0.0,,
2010-06-04,0.0,0.0,0.0,0.0,,
2010-06-07,0.0,0.0,0.0,0.0,,
2010-06-08,0.0,0.0,0.0,0.0,,
2010-06-09,0.0,0.0,0.0,0.0,,
2010-06-10,0.0,0.0,0.0,0.0,,
2010-06-11,0.0,0.0,0.0,0.0,,
2010-06-14,0.0,0.0,0.0,0.0,,
2010-06-17,0.0,0.0,0.0,0.0,,
2010-06-18,0.0,0.0,0.0,0.0,,
2010-06-21,0.0,0.0,0.0,0.0,,
2010-06-22,0.0,0.0,0.0,0.0,,
2010-06-23,0.0,0.0,0.0,0.0,,
2010-06-24,0.0,0.0,0.0,0.0,,
2010-06-25,0.0,0.0,0.0,0.0,,
2010-06-28,0.0,0.0,0.0,0.0,,
2010-06-29,0.0,0.0,0.0,0.0,,
2010-06-30,0.0,0.0,0.0,0.0,,
2010-07-01,0.0,0.0,0.0,0.0,,
2010-07-02,0.0,0.0,0.0,0.0,,
2010-07-05,0.0,0.0,0.0,0.0,,
2010-07-06,0.0,0.0,0.0,0.0,,
2010-07-07,0.0,0.0,0.0,0.0,,
2010-07-08,0.0,0.0,0.0,0.0,,
2010-07-09,0.0,0.0,0.0,0.0,,
2010-07-12,0.0,0.0,0.0,0.0,,
2010-07-13,0.0,0.0,0.0,0.0,,
2010-07-14,0.0,0.0,0.0,0.0,,
2010-07-15,0.0,0.0,0.0,0.0,,
2010-07-16,0.0,0.0,0.0,0.0,,
2010-07-19,0.0,0.0,0.0,0.0,,
2010-07-20,0.0,0.0,0.0,0.0,,
2010-07-21,0.0,0.0,0.0,0.0,,
2010-07-22,0.0,0.0,0.0,0.0,,
2010-07-23,0.0,0.0,0.0,0.0,,
2010-07-26,0.0,0.0,0.0,0.0,,
2010-07-27,0.0,0.0,0.0,0.0,,
2010-07-28,0.0,0.0,0.0,0.0,,
2010-07-29,0.0,0.0,0.0,0.0,,
2010-07-30,0.0,0.0,0.0,0.0,,
2010-08-02,0.0,0.0,0.0,0.0,,
2010-08-03,0.0,0.0,0.0,0.0,,
2010-08-04,0.0,0.0,0.0,0.0,,
2010-08-05,0.0,0.0,0.0,0.0,,
2010-08-06,0.0,0.0,0.0,0.0,,
2010-08-09,0.0,0.0,0.0,0.0,,
2010-08-10,0.0,0.0,0.0,0.0,,
2010-08-11,0.0,0.0,0.0,0.0,,
2010-08-12,0.0,0.0,0.0,0.0,,
2010-08-13,0.0,0.0,0.0,0.0,,
2010-08-16,0.0,0.0,0.0,0.0,,
2010-08-17,0.0,0.0,0.0,0.0,,
2010-08-18,0.0,0.0,0.0,0.0,,
2010-08-19,0.0,0.0,0.0,0.0,,
2010-08-20,0.0,0.0,0.0,0.0,,
2010-08-23,0.0,0.0,0.0,0.0,,
2010-08-24,0.0,0.0,0.0,0.0,,
2010-08-25,0.0,0.0,0.0,0.0,,
2010-08-26,0.0,0.0,0.0,0.0,,
2010-08-27,0.0,0.0,0.0,0.0,,
2010-08-30,0.0,0.0,0.0,0.0,,
2010-08-31,0.0,0.0,0.0,0.0,,
2010-09-01,0.0,0.0,0.0,0.0,,
2010-09-02,0.0,0.0,0.0,0.0,,
2010-09-03,0.0,0.0,0.0,0.0,,
2010-09-06,0.0,0.0,0.0,0.0,,
2010-09-07,0.0,0.0,0.0,0.0,,
2010-09-08,0.0,0.0,0.0,0.0,,
2010-09-09,0.0,0.0,0.0,0.0,,
2010-09-10,0.0,0.0,0.0,0.0,,
2010-09-13,0.0,0.0,0.0,0.0,,
2010-09-14,0.0,0.0,0.0,0.0,,
2010-09-15,0.0,0.0,0.0,0.0,,
2010-09-16,0.0,0.0,0.0,0.0,,
2010-09-17,0.0,0.0,0.0,0.0,,
2010-09-20,0.0,0.0,0.0,0.0,,
2010-09-21,0.0,0.0,0.0,0.0,,
2010-09-24,0.0,0.0,0.0,0.0,,
2010-09-27,0.0,0.0,0.0,0.0,,
2010-09-28,0.0,0.0,0.0,0.0,,
2010-09-29,0.0,0.0,0.0,0.0,,
2010-09-30,0.0,0.0,0.0,0.0,,
2010-10-07,0.0,0.0,0.0,0.0,,
2010-10-08,0.0,0.0,0.0,0.0,,
2010-10-11,0.0,0.0,0.0,0.0,,
2010-10-12,0.0,0.0,0.0,0.0,,
2010-10-13,0.0,0.0,0.0,0.0,,
2010-10-14,0.0,0.0,0.0,0.0,,
2010-10-15,0.0,0.0,0.0,0.0,,
2010-10-18,0.0,0.0,0.0,0.0,,
2010-10-19,0.0,0.0,0.0,0.0,,
2010-10-20,0.0,0.0,0.0,0.0,,
2010-10-21,0.0,0.0,0.0,0.0,,
2010-10-22,0.0,0.0,0.0,0.0,,
2010-10-25,0.0,0.0,0.0,0.0,,
2010-10-26,0.0,0.0,0.0,0.0,,
2010-10-27,0.0,0.0,0.0,0.0,,
2010-10-28,0.0,0.0,0.0,0.0,,
2010-10-29,0.0,0.0,0.0,0.0,,
2010-11-01,0.0,0.0,0.0,0.0,,
2010-11-02,0.0,0.0,0.0,0.0,,
2010-11-03,0.0,0.0,0.0,0.0,,
2010-11-04,0.0,0.0,0.0,0.0,,
2010-11-05,0.0,0.0,0.0,0.0,,
2010-11-08,0.0,0.0,0.0,0.0,,
2010-11-09,0.0,0.0,0.0,0.0,,
2010-11-10,0.0,0.0,0.0,0.0,,
2010-11-11,0.0,0.0,0.0,0.0,,
2010-11-12,0.0,0.0,0.0,0.0,,
2010-11-15,0.0,0.0,0.0,0.0,,
2010-11-16,0.0,0.0,0.0,0.0,,
2010-11-17,0.0,0.0,0.0,0.0,,
2010-11-18,0.0,0.0,0.0,0.0,,
2010-11-19,0.0,0.0,0.0,0.0,,
2010-11-22,0.0,0.0,0.0,0.0,,
2010-11-23,0.0,0.0,0.0,0.0,,
2010-11-24,0.0,0.0,0.0,0.0,,
2010-11-25,0.0,0.0,0.0,0.0,,
2010-11-26,0.0,0.0,0.0,0.0,,
2010-11-29,0.0,0.0,0.0,0.0,,
2010-11-30,0.0,0.0,0.0,0.0,,
2010-12-01,0.0,0.0,0.0,0.0,,
2010-12-02,0.0,0.0,0.0,0.0,,
2010-12-03,0.0,0.0,0.0,0.0,,
2010-12-06,0.0,0.0,0.0,0.0,,
2010-12-07,0.0,0.0,0.0,0.0,,
2010-12-08,0.0,0.0,0.0,0.0,,
2010-12-09,0.0,0.0,0.0,0.0,,
2010-12-10,0.0,0.0,0.0,0.0,,
2010-12-13,0.0,0.0,0.0,0.0,,
2010-12-14,0.0,0.0,0.0,0.0,,
2010-12-15,0.0,0.0,0.0,0.0,,
2010-12-16,0.0,0.0,0.0,0.0,,
2010-12-17,0.0,0.0,0.0,0.0,,
2010-12-20,0.0,0.0,0.0,0.0,,
2010-12-21,0.0,0.0,0.0,0.0,,
2010-12-22,0.0,0.0,0.0,0.0,,
2010-12-23,0.0,0.0,0.0,0.0,,
2010-12-24,0.0,0.0,0.0,0.0,,
2010-12-27,0.0,0.0,0.0,0.0,,
2010-12-28,0.0,0.0,0.0,0.0,,
2010-12-29,0.0,0.0,0.0,0.0,,
2010-12-30,0.0,0.0,0.0,0.0,,
2010-12-31,0.0,0.0,0.0,0.0,,
2011-01-03,0.0,0.0,0.0,0.0,,
2011-01-04,0.0,0.0,0.0,0.0,,
2011-01-05,0.0,0.0,0.0,0.0,,
2011-01-06,0.0,0.0,0.0,0.0,,
2011-01-07,0.0,0.0,0.0,0.0,,
2011-01-10,0.0,0.0,0.0,0.0,,
2011-01-11,0.0,0.0,0.0,0.0,,
2011-01-12,0.0,0.0,0.0,0.0,,
2011-01-13,0.0,0.0,0.0,0.0,,
2011-01-14,0.0,0.0,0.0,0.0,,
2011-01-17,0.0,0.0,0.0,0.0,,
2011-01-18,0.0,0.0,0.0,0.0,,
2011-01-19,0.0,0.0,0.0,0.0,,
2011-01-20,0.0,0.0,0.0,0.0,,
2011-01-21,0.0,0.0,0.0,0.0,,
2011-01-24,0.0,0.0,0.0,0.0,,
2011-01-25,0.0,0.0,0.0,0.0,,
2011-01-26,0.0,0.0,0.0,0.0,,
2011-01-27,0.0,0.0,0.0,0.0,,
2011-01-28,0.0,0.0,0.0,0.0,,
2011-01-31,0.0,0.0,0.0,0.0,,
2011-02-01,0.0,0.0,0.0,0.0,,
2011-02-09,0.0,0.0,0.0,0.0,,
2011-02-10,0.0,0.0,0.0,0.0,,
2011-02-11,0.0,0.0,0.0,0.0,,
2011-02-14,0.0,0.0,0.0,0.0,,
2011-02-15,0.0,0.0,0.0,0.0,,
2011-02-16,0.0,0.0,0.0,0.0,,
2011-02-17,0.0,0.0,0.0,0.0,,
2011-02-18,0.0,0.0,0.0,0.0,,
2011-02-21,0.0,0.0,0.0,0.0,,
2011-02-22,0.0,0.0,0.0,0.0,,
2011-02-23,0.0,0.0,0.0,0.0,,
2011-02-24,0.0,0.0,0.0,0.0,,
2011-02-25,0.0,0.0,0.0,0.0,,
2011-02-28,0.0,0.0,0.0,0.0,,
2011-03-01,0.0,0.0,0.0,0.0,,
2011-03-02,0.0,0.0,0.0,0.0,,
2011-03-03,0.0,0.0,0.0,0.0,,
2011-03-04,0.0,0.0,0.0,0.0,,
2011-03-07,0.0,0.0,0.0,0.0,,
2011-03-08,0.0,0.0,0.0,0.0,,
2011-03-09,0.0,0.0,0.0,0.0,,
2011-03-10,0.0,0.0,0.0,0.0,,
2011-03-11,0.0,0.0,0.0,0.0,,
2011-03-14,0.0,0.0,0.0,0.0,,
2011-03-15,0.0,0.0,0.0,0.0,,
2011-03-16,0.0,0.0,0.0,0.0,,
2011-03-17,0.0,0.0,0.0,0.0,,
2011-03-18,0.0,0.0,0.0,0.0,,
2011-03-21,0.0,0.0,0.0,0.0,,
2011-03-22,0.0,0.0,0.0,0.0,,
2011-03-23,0.0,0.0,0.0,0.0,,
2011-03-24,-0.005695541100060125,1.0,0.0003,-0.005995541100060125,0.0036404842156491923,0.009336025315709318
2011-03-25,-0.009593610222758814,0.25,7.5e-05,-0.009668610222758814,-0.013771797570780453,-0.004178187348021639
2011-03-28,0.0030093989243026587,0.75,0.000225,0.0027843989243026587,0.0024443174788012223,-0.0005650814455014364
2011-03-29,0.010088746164877399,0.5,0.00015,0.009938746164877398,0.004507926160678216,-0.005580820004199183
2011-03-30,-0.004409628566714147,0.5,0.00015,-0.0045596285667141466,-0.006363847129655292,-0.0019542185629411457
2011-03-31,0.005389416205335673,0.25,7.5e-05,0.005314416205335673,0.006308979672648207,0.0009195634673125341
2011-04-01,0.012745073271615226,0.5,0.00015,0.012595073271615225,0.01868820968961904,0.005943136418003814
2011-04-06,0.001164360021759403,0.5,0.00015,0.001014360021759403,-0.00017549785411030694,-0.00133985787586971
2011-04-07,0.015181031503683773,0.5,0.00015,0.015031031503683772,0.020087818003695468,0.004906786500011695
2011-04-08,0.00666604384715902,0.5,0.00015,0.00651604384715902,0.010417304650217118,0.0037512608030580985
2011-04-11,0.0077611591627830545,0.25,7.5e-05,0.007686159162783054,-0.004948116280384773,-0.012709275443167828
2011-04-12,-0.006389370286722373,0.75,0.000225,-0.006614370286722374,-0.003987345215103133,0.0024020250716192404
2011-04-13,-0.002274710679401215,0.75,0.000225,-0.002499710679401215,-0.009284787283681983,-0.007010076604280768
2011-04-14,0.004762929865490401,0.75,0.000225,0.0045379298654904,-0.003284136657536435,-0.008047066523026836
2011-04-15,-0.008304324826064935,1.0,0.0003,-0.008604324826064935,-0.005168933046573776,0.003135391779491159
2011-04-18,-0.007932471078520045,0.2,5.9999999999999995e-05,-0.007992471078520044,-0.02138292538645605,-0.01345045430793601
2011-04-19,0.006740526764961042,0.6000000000000001,0.00018,0.006560526764961042,0.014290817172726556,0.007550290407765514
2011-04-20,0.0024699463791745925,0.4,0.00011999999999999999,0.0023499463791745927,0.004289757739856781,0.0018198113606821887
2011-04-21,0.007526959195648675,0.6000000000000001,0.00018,0.007346959195648675,0.0022434700043698188,-0.005283489191278856
2011-04-22,-0.008332131073756278,0.6,0.00017999999999999998,-0.008512131073756278,-0.00867304524968553,-0.00034091417592925223
2011-04-25,-0.0034603601183982756,0.6000000000000001,0.00018,-0.0036403601183982756,-0.0066947196310387595,-0.0032343595126404835
2011-04-26,-0.0107781702263271,0.4,0.00011999999999999999,-0.0108981702263271,-0.013386475977973045,-0.002608305751645945
2011-04-27,-0.0005614725600668669,0.2,5.9999999999999995e-05,-0.0006214725600668669,0.010263590099252373,0.01082506265931924
2011-04-28,-0.005836487022783854,0.4,0.00011999999999999999,-0.0059564870227838546,-0.010901999502712955,-0.005065512479929102
2011-04-29,0.0002988048110699193,0.4,0.00011999999999999999,0.0001788048110699193,0.00153221750335637,0.0012334126922864507
2011-05-03,-0.006464525205882943,0.2,5.9999999999999995e-05,-0.006524525205882943,-0.011358710030726481,-0.004894184824843539
2011-05-04,-0.014608864995177816,0.8,0.00023999999999999998,-0.014848864995177817,-0.019635415567908866,-0.005026550572731048
2011-05-05,0.006683422795108673,0.6000000000000001,0.00018,0.006503422795108673,-0.010409808639219009,-0.017093231434327682
2011-05-06,0.014430962982934316,0.6,0.00017999999999999998,0.014250962982934316,0.016702757349554887,0.002271794366620572
2011-05-09,-0.003312243719720608,0.4,0.00011999999999999999,-0.003432243719720608,0.006882538534639826,0.010194782254360435
2011-05-10,0.012284951388177692,0.4,0.00011999999999999999,0.012164951388177692,0.00657045861338359,-0.0057144927747941
2011-05-11,-0.020164566380922944,0.6,0.00017999999999999998,-0.020344566380922944,-0.03503966071985325,-0.014875094338930306
2011-05-12,0.022760348901890694,0.4,0.00011999999999999999,0.022640348901890695,0.03456730926284508,0.011806960360954388
2011-05-13,-0.005793794080755156,0.4,0.00011999999999999999,-0.005913794080755156,-0.00990766490719508,-0.004113870826439925
2011-05-16,0.012533694183688927,0.2,5.9999999999999995e-05,0.012473694183688927,0.007752953628340764,-0.004780740555348162
2011-05-17,0.0033424972230427846,0.4,0.00011999999999999999,0.0032224972230427847,0.0006542918715581436,-0.0026882053514846404
2011-05-18,0.0065719786202934624,0.6000000000000001,0.00018,0.006391978620293463,0.009501800902448964,0.0029298222821555033
2011-05-19,-0.004666386479745089,0.6000000000000001,0.00018,-0.0048463864797450885,-0.0034578507330097485,0.0012085357467353397
2011-05-20,0.0009633463978333304,0.8,0.00023999999999999998,0.0007233463978333304,-0.0022766467736645033,-0.0032399931714978346
2011-05-23,0.005044302269325841,1.0,0.0003,0.004744302269325841,0.011465629848498703,0.006421327579172864
2011-05-24,0.008038414865477607,0.8,0.00023999999999999998,0.007798414865477607,0.004945547227852787,-0.003092867637624819
2011-05-25,0.010972561240966926,0.8,0.00023999999999999998,0.010732561240966925,0.01593671361226261,0.004964152371295683
2011-05-26,0.0005276007901430678,1.0,0.0003,0.00022760079014306779,0.003025806296473221,0.0024982055063301535
2011-05-27,0.004982522907194876,0.4,0.00011999999999999999,0.004862522907194876,0.003932079014541246,-0.0010504438926536297
2011-05-30,0.007951155795374355,0.6000000000000001,0.00018,0.007771155795374355,0.009166937312540303,0.001215781517165948
2011-05-31,-0.0008644776141266677,0.6,0.00017999999999999998,-0.0010444776141266677,-0.0061998490092739725,-0.005335371395147304
2011-06-01,-0.007315067441218437,0.8,0.00023999999999999998,-0.007555067441218437,-0.006046969553512205,0.001268097887706232
2011-06-02,0.0028055454171263643,0.6000000000000001,0.00018,0.0026255454171263642,0.009545919842906914,0.006740374425780548
2011-06-03,0.011531877081580589,0.8,0.00023999999999999998,0.011291877081580588,0.004530476142480544,-0.007001400939100044
2011-06-07,0.005638258625555538,0.8,0.00023999999999999998,0.005398258625555538,-0.0057628562171151195,-0.011401114842670656
2011-06-08,-0.002435381103272194,0.8,0.00023999999999999998,-0.002675381103272194,-0.0030270882901342277,-0.0005917071868620338
2011-06-09,0.0023432689347790974,0.2,5.9999999999999995e-05,0.002283268934779097,0.0019664970113574486,-0.0003767719234216482
2011-06-10,0.0016728628204141455,0.4,0.00011999999999999999,0.0015528628204141454,-0.004458626356830475,-0.00613148917724462
2011-06-13,0.0011078155515287012,0.8,0.00023999999999999998,0.0008678155515287013,0.0008546229851015275,-0.0002531925664271739
2011-06-14,0.00879524381700907,0.4,0.00011999999999999999,0.008675243817009069,0.008443654309684124,-0.0003515895073249453
2011-06-15,0.0012858745838629111,0.6000000000000001,0.00018,0.001105874583862911,-0.00899463263722342,-0.010280507221086333
2011-06-16,-0.0008712910462072231,0.8,0.00023999999999999998,-0.001111291046207223,-0.0021352769850405905,-0.0012639859388333674
2011-06-17,-0.0031308816642966033,0.8,0.00023999999999999998,-0.003370881664296603,-0.004486312242796009,-0.0013554305784994058
2011-06-20,0.001998879162822976,0.4,0.00011999999999999999,0.001878879162822976,0.008929972722744983,0.006931093559922008
2011-06-21,0.004103984205998425,0.4,0.00011999999999999999,0.003983984205998424,-0.004858354229984374,-0.008962338435982797
2011-06-22,-0.0034395379387230475,0.4,0.00011999999999999999,-0.0035595379387230474,-0.007145868877376604,-0.003706330938653557
2011-06-23,0.003212490221378906,0.8,0.00023999999999999998,0.002972490221378906,-2.110020366363763e-06,-0.003214600241745269
2011-06-24,-0.02032321850156478,0.8,0.00023999999999999998,-0.02056321850156478,-0.03113466281391235,-0.010811444312347573
2011-06-27,-0.0035793257646128842,0.6000000000000001,0.00018,-0.0037593257646128843,0.00024946905426233014,0.003828794818875214
2011-06-28,0.002261392744829305,0.6,0.00017999999999999998,0.002081392744829305,0.006714000777159645,0.004452608032330341
2011-06-29,0.008745235873396996,0.4,0.00011999999999999999,0.008625235873396996,0.016945059309355238,0.008199823435958242
2011-06-30,-0.016186260622820445,0.6000000000000001,0.00018,-0.016366260622820445,-0.015154399868018208,0.0010318607548022384
2011-07-01,-0.005189065588801167,0.2,5.9999999999999995e-05,-0.005249065588801167,0.011608152558249474,0.01679721814705064
2011-07-04,0.001433160068273276,0.4,0.00011999999999999999,0.0013131600682732762,-0.0004140221163387636,-0.0018471821846120396
2011-07-05,0.005864250505273239,0.4,0.00011999999999999999,0.005744250505273238,0.009250121924260757,0.0033858714189875182
2011-07-06,0.001983369657354217,0.4,0.00011999999999999999,0.0018633696573542172,-0.0010300857739248715,-0.0030134554312790883
2011-07-07,0.008051707084274141,0.6000000000000001,0.00018,0.007871707084274142,0.014145851401545917,0.006094144317271777
2011-07-08,-0.003463470279327918,0.2,5.9999999999999995e-05,-0.0035234702793279183,-0.0090520947795939,-0.005588624500265982
2011-07-11,-0.0025236707531143265,0.4,0.00011999999999999999,-0.0026436707531143264,-0.010968782666324861,-0.008445111913210535
2011-07-12,0.017921655399869077,0.6,0.00017999999999999998,0.017741655399869077,0.032810953138419044,0.014889297738549967
2011-07-13,-0.005954979841231122,1.0,0.0003,-0.006254979841231122,-0.007588225043558494,-0.0016332452023273714
2011-07-14,0.012341468664466417,0.4,0.00011999999999999999,0.012221468664466417,0.009078907011576232,-0.0032625616528901835
2011-07-15,0.01603097550676553,0.6000000000000001,0.00018,0.015850975506765532,0.011519249504422202,-0.00451172600234333
2011-07-18,0.0010306879866667455,1.2000000000000002,0.00036,0.0006706879866667454,0.002846192890219168,0.0018155049035524229
2011-07-19,0.008796991895393225,0.8,0.00023999999999999998,0.008556991895393225,0.0023821512549262237,-0.006414840640467001
2011-07-20,0.00199201862371492,0.6000000000000001,0.00018,0.0018120186237149199,-0.0007630522045272814,-0.002755070828242201
2011-07-21,0.004083698512075241,1.2000000000000002,0.00036,0.003723698512075241,0.005480382437900344,0.001396683925825104
2011-07-22,-0.0021674969095462067,0.6000000000000001,0.00018,-0.0023474969095462067,-0.006600323279988584,-0.004432826370442377
2011-07-25,-0.007098849936161812,0.4,0.00011999999999999999,-0.007218849936161812,0.005642835488532394,0.012741685424694204
2011-07-26,-0.013479978026242456,0.6,0.00017999999999999998,-0.013659978026242456,-0.010062779569894709,0.0034171984563477475
2011-07-27,0.0022120714829580337,0.6,0.00017999999999999998,0.0020320714829580337,-0.004177131551372226,-0.0063892030343302595
2011-07-28,0.012771325795600941,0.6000000000000001,0.00018,0.012591325795600941,0.006034753094456846,-0.006736572701144095
2011-07-29,0.0022713200886236963,0.8,0.00023999999999999998,0.0020313200886236966,0.006625852003430332,0.004354531914806637
2011-08-01,-0.006514396201346662,0.8,0.00023999999999999998,-0.006754396201346662,-0.009283286932421243,-0.00276889073107458
2011-08-02,0.00997090836216985,0.8,0.00023999999999999998,0.00973090836216985,0.009028668762622382,-0.0009422395995474675
2011-08-03,0.010752688379583743,0.4,0.00011999999999999999,0.010632688379583742,2.4690820572659256e-05,-0.010727997559011082
2011-08-04,-0.013315624037544407,0.6000000000000001,0.00018,-0.013495624037544406,-0.032420730763598526,-0.019105106726054123
2011-08-05,-0.016957583672339592,0.8,0.00023999999999999998,-0.017197583672339593,-0.013098100226300846,0.003859483446038747
2011-08-08,-0.02103786250934414,0.2,5.9999999999999995e-05,-0.02109786250934414,-0.023820469989251847,-0.002782607479907706
2011-08-09,0.017268170318614606,0.4,0.00011999999999999999,0.017148170318614608,0.017882593887536036,0.0006144235689214295
2011-08-10,0.0016772936017506622,0.6,0.00017999999999999998,0.0014972936017506621,0.009942313361481058,0.008265019759730397
2011-08-11,0.004899510576197598,0.4,0.00011999999999999999,0.004779510576197597,0.0005690838543940035,-0.004330426721803593
2011-08-12,0.003657383002764037,0.2,5.9999999999999995e-05,0.003597383002764037,0.005059769827972604,0.001402386825208568
2011-08-15,-0.01597442353963379,0.2,5.9999999999999995e-05,-0.01603442353963379,-0.018583505696161007,-0.0026090821565272204
2011-08-16,-0.0037088643688655953,0.2,5.9999999999999995e-05,-0.0037688643688655954,0.00927256604408273,0.012981430412948325
2011-08-17,0.010403538286707835,0.2,5.9999999999999995e-05,0.010343538286707836,0.007999497093727537,-0.0024040411929802997
2011-08-18,-0.009744125644259749,0.4,0.00011999999999999999,-0.00986412564425975,-0.0077319972325162745,0.0020121284117434746
2011-08-19,-0.010893945794423644,0.4,0.00011999999999999999,-0.011013945794423644,-0.009674825963914401,0.001219119830509241
2011-08-22,0.00645970602193522,0.4,0.00011999999999999999,0.00633970602193522,0.014080674677837602,0.007620968655902382
2011-08-23,0.010346474488741665,0.4,0.00011999999999999999,0.010226474488741664,0.0021879825320216375,-0.008158491956720026
2011-08-24,0.01980480111353642,0.2,5.9999999999999995e-05,0.01974480111353642,0.005986579667770542,-0.013818221445765878
2011-08-25,0.006357491039081209,0.6000000000000001,0.00018,0.006177491039081209,0.0030155824297986465,-0.003341908609282562
2011-08-26,-0.01093797698136718,0.2,5.9999999999999995e-05,-0.01099797698136718,0.006220464487742184,0.017158441469109366
